,Suburb,Address,Type,Method,SellerG,CouncilArea,Regionname,Rooms,Price,Distance,Postcode,Bedrooms,Bathroom,Car,Landsize,main_lat,main_lon,Propertycount,Sold_Month,Sold_Year,station,metro_lat,metro_lon,Distance_to_Station
32,Airport West,2/49 McIntosh St,u,VB,Barry,Moonee Valley City Council,Western Metropolitan,2,500000.0,13.5,3042.0,2.0,1.0,1.0,168.0,-37.7215,144.8864,3464.0,3.0,2017.0,Oak Park,-37.718046999999956,144.92153500000006,3.1141
33,Airport West,54 Marshall Rd,h,S,Barry,Moonee Valley City Council,Western Metropolitan,3,720000.0,13.5,3042.0,2.0,1.0,1.0,620.0,-37.7173,144.8872,3464.0,8.0,2016.0,Glenroy,-37.704638999999986,144.91724599999998,2.9946
34,Airport West,36 Roberts Rd,h,S,Considine,Moonee Valley City Council,Western Metropolitan,4,785000.0,13.5,3042.0,3.0,1.0,2.0,597.0,-37.7259,144.8792,3464.0,8.0,2016.0,Oak Park,-37.718046999999956,144.92153500000006,3.8246
35,Airport West,11 Harrington Rd,h,SP,Barry,Moonee Valley City Council,Western Metropolitan,6,725000.0,13.5,3042.0,6.0,3.0,2.0,976.0,-37.7239,144.8735,3464.0,5.0,2016.0,Oak Park,-37.718046999999956,144.92153500000006,4.2748
36,Airport West,2/252 Parer Rd,t,S,Barry,Moonee Valley City Council,Western Metropolitan,2,450000.0,13.5,3042.0,2.0,1.0,1.0,110.0,-37.7216,144.871,3464.0,5.0,2016.0,Oak Park,-37.718046999999956,144.92153500000006,4.4624
37,Airport West,3/19 Hart St,u,S,Barry,Moonee Valley City Council,Western Metropolitan,2,515000.0,13.5,3042.0,2.0,1.0,1.0,141.0,-37.7298,144.8883,3464.0,11.0,2016.0,Oak Park,-37.718046999999956,144.92153500000006,3.2019
38,Airport West,2/62 Clydesdale Rd,u,S,Nelson,Moonee Valley City Council,Western Metropolitan,2,530000.0,13.5,3042.0,2.0,1.0,1.0,120.0,-37.7234,144.8792,3464.0,9.0,2016.0,Oak Park,-37.718046999999956,144.92153500000006,3.7709
39,Airport West,3 Deidre Ct,h,PI,Rendina,Moonee Valley City Council,Western Metropolitan,3,895000.0,13.5,3042.0,3.0,1.0,6.0,1063.0,-37.7249,144.8728,3464.0,9.0,2016.0,Oak Park,-37.718046999999956,144.92153500000006,4.3537
40,Airport West,1/43 Cameron St,u,S,Nelson,Moonee Valley City Council,Western Metropolitan,3,752000.0,13.5,3042.0,3.0,1.0,1.0,265.0,-37.7302,144.8855,3464.0,2.0,2017.0,Oak Park,-37.718046999999956,144.92153500000006,3.4454
41,Airport West,145a Victory Rd,u,S,Barry,Moonee Valley City Council,Western Metropolitan,2,440000.0,13.5,3042.0,2.0,1.0,1.0,192.0,-37.7177,144.8787,3464.0,8.0,2016.0,Glenroy,-37.704638999999986,144.91724599999998,3.6887
42,Airport West,241 Parer Rd,h,PI,Propertyau,Moonee Valley City Council,Western Metropolitan,5,755000.0,13.5,3042.0,3.0,2.0,2.0,596.0,-37.7248,144.8699,3464.0,5.0,2016.0,Oak Park,-37.718046999999956,144.92153500000006,4.6032
43,Airport West,2/40 Earl St,t,PI,Brad,Moonee Valley City Council,Western Metropolitan,3,700000.0,13.5,3042.0,3.0,2.0,2.0,165.0,-37.727,144.887,3464.0,10.0,2016.0,Oak Park,-37.718046999999956,144.92153500000006,3.1964
44,Airport West,180 Parer Rd,h,S,Barry,Moonee Valley City Council,Western Metropolitan,3,830000.0,13.5,3042.0,3.0,1.0,2.0,971.0,-37.7186,144.876,3464.0,4.0,2016.0,Glenroy,-37.704638999999986,144.91724599999998,3.9464
45,Airport West,4/54 Hawker St,u,S,Barry,Moonee Valley City Council,Western Metropolitan,2,462500.0,13.5,3042.0,2.0,1.0,1.0,164.0,-37.7218,144.8863,3464.0,7.0,2016.0,Oak Park,-37.718046999999956,144.92153500000006,3.1271
46,Airport West,43 Hillside Gr,h,SP,Barry,Moonee Valley City Council,Western Metropolitan,3,670000.0,13.5,3042.0,3.0,2.0,2.0,657.0,-37.7269,144.8742,3464.0,7.0,2016.0,Oak Park,-37.718046999999956,144.92153500000006,4.2781
47,Airport West,174 Parer Rd,h,S,Barry,Moonee Valley City Council,Western Metropolitan,2,675000.0,13.5,3042.0,2.0,1.0,1.0,612.0,-37.7187,144.8765,3464.0,7.0,2016.0,Glenroy,-37.704638999999986,144.91724599999998,3.9104
48,Airport West,138 Victory Rd,h,S,Nelson,Moonee Valley City Council,Western Metropolitan,3,1042000.0,13.5,3042.0,3.0,2.0,5.0,612.0,-37.7173,144.8796,3464.0,7.0,2016.0,Glenroy,-37.704638999999986,144.91724599999998,3.5984
49,Airport West,75 King St,h,S,McDonald,Moonee Valley City Council,Western Metropolitan,3,910000.0,13.5,3042.0,3.0,1.0,1.0,775.0,-37.7231,144.8835,3464.0,9.0,2016.0,Oak Park,-37.718046999999956,144.92153500000006,3.3922
50,Airport West,6 Kittyhawk St,h,S,Brad,Moonee Valley City Council,Western Metropolitan,4,773000.0,13.5,3042.0,5.0,3.0,4.0,531.0,-37.7263,144.8679,3464.0,9.0,2016.0,Oak Park,-37.718046999999956,144.92153500000006,4.8058
51,Airport West,478 Fullarton Rd,h,PI,Barry,Moonee Valley City Council,Western Metropolitan,3,810000.0,13.5,3042.0,3.0,3.0,2.0,555.0,-37.7285,144.8694,3464.0,3.0,2017.0,Oak Park,-37.718046999999956,144.92153500000006,4.7304
52,Airport West,144 Marshall Rd,h,S,Rendina,Moonee Valley City Council,Western Metropolitan,3,715000.0,13.5,3042.0,3.0,2.0,2.0,422.0,-37.7164,144.8792,3464.0,3.0,2017.0,Glenroy,-37.704638999999986,144.91724599999998,3.5932
53,Airport West,106 Parer Rd,h,S,Nelson,Moonee Valley City Council,Western Metropolitan,3,790000.0,13.5,3042.0,3.0,1.0,3.0,614.0,-37.7194,144.8827,3464.0,3.0,2017.0,Oak Park,-37.718046999999956,144.92153500000006,3.4192
54,Airport West,3/7 South Rd,t,SP,Nelson,Moonee Valley City Council,Western Metropolitan,3,540000.0,13.5,3042.0,2.0,2.0,1.0,161.0,-37.7231,144.8802,3464.0,6.0,2016.0,Oak Park,-37.718046999999956,144.92153500000006,3.6788
55,Airport West,37 North St,t,SP,Barry,Moonee Valley City Council,Western Metropolitan,3,825000.0,13.5,3042.0,3.0,2.0,1.0,293.0,-37.72,144.8776,3464.0,11.0,2016.0,Oak Park,-37.718046999999956,144.92153500000006,3.8705
56,Airport West,10 Hilbert Rd,h,S,Barry,Moonee Valley City Council,Western Metropolitan,3,685000.0,13.5,3042.0,3.0,1.0,1.0,579.0,-37.7226,144.8733,3464.0,5.0,2016.0,Oak Park,-37.718046999999956,144.92153500000006,4.2727
57,Airport West,110 Halsey Rd,h,S,Barry,Moonee Valley City Council,Western Metropolitan,3,805000.0,13.5,3042.0,3.0,1.0,1.0,623.0,-37.7184,144.882,3464.0,8.0,2016.0,Glenroy,-37.704638999999986,144.91724599999998,3.4575
58,Airport West,2/13 North St,u,S,Nelson,Moonee Valley City Council,Western Metropolitan,2,510000.0,13.5,3042.0,2.0,1.0,1.0,141.0,-37.7202,144.8797,3464.0,8.0,2016.0,Oak Park,-37.718046999999956,144.92153500000006,3.6875
59,Airport West,105a Victory Rd,h,S,Nelson,Moonee Valley City Council,Western Metropolitan,3,612000.0,13.5,3042.0,3.0,2.0,1.0,212.0,-37.7181,144.8824,3464.0,8.0,2016.0,Glenroy,-37.704638999999986,144.91724599999998,3.4112
60,Airport West,117 Marshall Rd,h,S,Brad,Moonee Valley City Council,Western Metropolitan,3,662000.0,13.5,3042.0,3.0,1.0,2.0,612.0,-37.7169,144.8815,3464.0,4.0,2016.0,Glenroy,-37.704638999999986,144.91724599999998,3.4273
61,Airport West,34 Moorna Dr,h,S,Nelson,Moonee Valley City Council,Western Metropolitan,4,978000.0,13.5,3042.0,4.0,3.0,2.0,532.0,-37.7263,144.869,3464.0,9.0,2016.0,Oak Park,-37.718046999999956,144.92153500000006,4.7109
62,Airport West,33 North St,h,PI,Nelson,Moonee Valley City Council,Western Metropolitan,3,720000.0,13.5,3042.0,3.0,1.0,1.0,585.0,-37.72,144.878,3464.0,2.0,2017.0,Oak Park,-37.718046999999956,144.92153500000006,3.8354
63,Airport West,49 Roberts Rd,h,S,Prof.,Moonee Valley City Council,Western Metropolitan,4,765000.0,13.5,3042.0,4.0,1.0,2.0,509.0,-37.7261,144.8785,3464.0,11.0,2016.0,Oak Park,-37.718046999999956,144.92153500000006,3.8896
64,Airport West,85 Roberts Rd,h,S,Harcourts,Moonee Valley City Council,Western Metropolitan,4,900000.0,13.5,3042.0,4.0,2.0,3.0,628.0,-37.7256,144.8739,3464.0,11.0,2016.0,Oak Park,-37.718046999999956,144.92153500000006,4.273
65,Albert Park,105 Kerferd Rd,h,S,hockingstuart,Port Phillip City Council,Southern Metropolitan,2,1275000.0,3.3,3206.0,2.0,1.0,0.0,120.0,-37.8459,144.9555,3280.0,9.0,2016.0,Prahran,-37.849762999999996,144.98981700000002,3.0436
66,Albert Park,85 Richardson St,h,S,Thomson,Port Phillip City Council,Southern Metropolitan,2,1455000.0,3.3,3206.0,2.0,1.0,0.0,159.0,-37.845,144.9538,3280.0,9.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.9663
67,Albert Park,112 Beaconsfield Pde,h,PI,Buxton,Port Phillip City Council,Southern Metropolitan,3,2850000.0,3.3,3206.0,3.0,2.0,0.0,211.0,-37.8481,144.9499,3280.0,3.0,2017.0,Southern Cross,-37.818354,144.95219300000008,3.3137
68,Albert Park,94 Graham St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,3,1850000.0,3.3,3206.0,3.0,2.0,0.0,128.0,-37.8452,144.9488,3280.0,3.0,2017.0,Southern Cross,-37.818354,144.95219300000008,3.0
69,Albert Park,396 Montague St,h,S,RT,Port Phillip City Council,Southern Metropolitan,2,1436000.0,3.3,3206.0,2.0,1.0,0.0,130.0,-37.8431,144.9565,3280.0,3.0,2017.0,Southern Cross,-37.818354,144.95219300000008,2.7775
70,Albert Park,75 Graham St,h,S,Marshall,Port Phillip City Council,Southern Metropolitan,2,1110000.0,3.3,3206.0,1.0,1.0,0.0,147.0,-37.8444,144.9484,3280.0,8.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.9153
71,Albert Park,54 Brooke St,h,S,Sotheby's,Port Phillip City Council,Southern Metropolitan,2,1550000.0,3.3,3206.0,2.0,1.0,1.0,167.0,-37.8405,144.9521,3280.0,5.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.4625
72,Albert Park,104 Richardson St,h,S,Marshall,Port Phillip City Council,Southern Metropolitan,4,2300000.0,3.3,3206.0,4.0,2.0,1.0,153.0,-37.8447,144.9523,3280.0,5.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.9296
73,Albert Park,4a Mills St,t,VB,Marshall,Port Phillip City Council,Southern Metropolitan,3,1550000.0,3.3,3206.0,3.0,2.0,2.0,718.0,-37.8443,144.9598,3280.0,11.0,2016.0,Prahran,-37.849762999999996,144.98981700000002,2.7047
74,Albert Park,1 Moubray St,h,VB,Greg,Port Phillip City Council,Southern Metropolitan,3,1800000.0,3.3,3206.0,3.0,2.0,1.0,132.0,-37.8415,144.952,3280.0,11.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.5738
75,Albert Park,29 Faussett St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,2,2120000.0,3.3,3206.0,2.0,1.0,1.0,199.0,-37.8422,144.9554,3280.0,9.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.6665
76,Albert Park,3 Herbert St,h,VB,Cayzer,Port Phillip City Council,Southern Metropolitan,3,1800000.0,3.3,3206.0,3.0,1.0,1.0,253.0,-37.8443,144.9579,3280.0,9.0,2016.0,Prahran,-37.849762999999996,144.98981700000002,2.8676
77,Albert Park,24 Kerferd Pl,h,S,Marshall,Port Phillip City Council,Southern Metropolitan,3,1800000.0,3.3,3206.0,3.0,2.0,1.0,90.0,-37.8421,144.9571,3280.0,9.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.6754
78,Albert Park,44 Draper St,h,PI,Greg,Port Phillip City Council,Southern Metropolitan,2,1810000.0,3.3,3206.0,2.0,1.0,0.0,240.0,-37.8379,144.9539,3280.0,12.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.1786
79,Albert Park,2 Dundas Pl,h,S,Cayzer,Port Phillip City Council,Southern Metropolitan,3,2615000.0,3.3,3206.0,3.0,2.0,1.0,177.0,-37.8415,144.9585,3280.0,12.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.6327
80,Albert Park,23 Finlay St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,5,2100000.0,3.3,3206.0,5.0,2.0,1.0,237.0,-37.8436,144.9557,3280.0,12.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.8241
81,Albert Park,31 Richardson St,h,S,hockingstuart,Port Phillip City Council,Southern Metropolitan,3,1300000.0,3.3,3206.0,3.0,1.0,0.0,129.0,-37.8422,144.949,3280.0,12.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.6663
82,Albert Park,60 Brooke St,h,S,Cayzer,Port Phillip City Council,Southern Metropolitan,2,1000000.0,3.3,3206.0,2.0,1.0,0.0,288.0,-37.8407,144.9523,3280.0,11.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.4848
83,Albert Park,70 Barrett St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,3,2575000.0,3.3,3206.0,3.0,2.0,1.0,228.0,-37.8445,144.9501,3280.0,10.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.9131
84,Albert Park,65 Graham St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,2,1322500.0,3.3,3206.0,2.0,1.0,0.0,149.0,-37.8443,144.9481,3280.0,10.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.9074
85,Albert Park,364 Montague St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,2,1562500.0,3.3,3206.0,2.0,1.0,0.0,141.0,-37.8424,144.9562,3280.0,10.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.6969
86,Albert Park,86 Mills St,h,VB,RT,Port Phillip City Council,Southern Metropolitan,3,2000000.0,3.3,3206.0,3.0,2.0,1.0,211.0,-37.847,144.9575,3280.0,4.0,2016.0,Prahran,-37.849762999999996,144.98981700000002,2.8541
87,Albert Park,129 Kerferd Rd,h,S,Greg,Port Phillip City Council,Southern Metropolitan,3,1900000.0,3.3,3206.0,3.0,1.0,0.0,209.0,-37.8468,144.9546,3280.0,3.0,2017.0,Prahran,-37.849762999999996,144.98981700000002,3.1097
88,Albert Park,97 Page St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,3,3010000.0,3.3,3206.0,3.0,2.0,0.0,147.0,-37.8473,144.9551,3280.0,3.0,2017.0,Prahran,-37.849762999999996,144.98981700000002,3.0606
89,Albert Park,55 Withers St,h,VB,Cayzer,Port Phillip City Council,Southern Metropolitan,4,2800000.0,3.3,3206.0,4.0,3.0,1.0,327.0,-37.8467,144.9475,3280.0,6.0,2016.0,Southern Cross,-37.818354,144.95219300000008,3.1788
90,Albert Park,55 Merton St,h,SP,Marshall,Port Phillip City Council,Southern Metropolitan,3,2100000.0,3.3,3206.0,2.0,1.0,1.0,120.0,-37.8427,144.9546,3280.0,4.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.7154
91,Albert Park,49 Page St,h,PI,Marshall,Port Phillip City Council,Southern Metropolitan,3,2000000.0,3.3,3206.0,3.0,1.0,1.0,238.0,-37.8461,144.9528,3280.0,9.0,2016.0,Southern Cross,-37.818354,144.95219300000008,3.0857
92,Albert Park,115 Page St,h,S,Marshall,Port Phillip City Council,Southern Metropolitan,4,4735000.0,3.3,3206.0,4.0,2.0,1.0,330.0,-37.8477,144.9558,3280.0,2.0,2017.0,Prahran,-37.849762999999996,144.98981700000002,2.9956
93,Albert Park,32 Page St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,2,1340000.0,3.3,3206.0,2.0,1.0,0.0,136.0,-37.846,144.9517,3280.0,2.0,2017.0,Southern Cross,-37.818354,144.95219300000008,3.0744
94,Albert Park,34 Richardson St,h,S,hockingstuart,Port Phillip City Council,Southern Metropolitan,3,1801000.0,3.3,3206.0,3.0,1.0,1.0,202.0,-37.8429,144.9493,3280.0,2.0,2017.0,Southern Cross,-37.818354,144.95219300000008,2.7412
95,Albert Park,22 Greig St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,3,3755000.0,3.3,3206.0,3.0,2.0,2.0,325.0,-37.8413,144.95,3280.0,7.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.5587
96,Albert Park,27 Barrett St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,4,2140000.0,3.3,3206.0,3.0,2.0,1.0,183.0,-37.8434,144.9495,3280.0,6.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.795
97,Albert Park,44 Greig St,h,S,Marshall,Port Phillip City Council,Southern Metropolitan,2,1750000.0,3.3,3206.0,2.0,1.0,1.0,162.0,-37.8416,144.9488,3280.0,11.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.602
98,Albert Park,6 Brooke St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,2,980000.0,3.3,3206.0,2.0,1.0,0.0,79.0,-37.8387,144.9519,3280.0,5.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.2625
99,Albert Park,227a Danks St,h,S,hockingstuart,Port Phillip City Council,Southern Metropolitan,3,2030000.0,3.3,3206.0,3.0,2.0,0.0,152.0,-37.8488,144.9551,3280.0,8.0,2016.0,Prahran,-37.849762999999996,144.98981700000002,3.0501
100,Albert Park,17 Reed St,h,PI,Marshall,Port Phillip City Council,Southern Metropolitan,3,1740000.0,3.3,3206.0,3.0,2.0,2.0,147.0,-37.8448,144.9453,3280.0,8.0,2016.0,Southern Cross,-37.818354,144.95219300000008,3.0023
101,Albert Park,9 Durham St,h,S,Marshall,Port Phillip City Council,Southern Metropolitan,1,985000.0,3.3,3206.0,1.0,1.0,0.0,81.0,-37.8411,144.9497,3280.0,7.0,2016.0,Southern Cross,-37.818354,144.95219300000008,2.5387
102,Alphington,6 Smith St,h,S,Brace,Darebin City Council,Northern Metropolitan,4,2000000.0,6.4,3078.0,3.0,2.0,4.0,853.0,-37.7707,145.0318,2211.0,9.0,2016.0,Darebin,-37.77481599999999,145.03862200000003,0.7543
103,Alphington,5/6 Yarralea St,h,S,Jellis,Darebin City Council,Northern Metropolitan,3,1110000.0,6.4,3078.0,3.0,2.0,2.0,208.0,-37.7854,145.0325,2211.0,9.0,2016.0,Alphington,-37.77839599999999,145.031251,0.7865
104,Alphington,136A Fulham Rd,h,S,Jellis,Darebin City Council,Northern Metropolitan,3,1492000.0,6.4,3078.0,3.0,2.0,2.0,411.0,-37.7713,145.0279,2211.0,3.0,2017.0,Alphington,-37.77839599999999,145.031251,0.8422
105,Alphington,44 Shiers St,h,S,Collins,Darebin City Council,Northern Metropolitan,4,1717500.0,6.4,3078.0,4.0,2.0,1.0,599.0,-37.7717,145.031,2211.0,10.0,2016.0,Alphington,-37.77839599999999,145.031251,0.7449
